person	response
내가 다시 아파서 입원을 하게되면 내 자식들이 나를 더이상 찾지 않을거같아서 너무 슬프구나.	자제분들이 아픈 본인에게 돈을 쓰기 싫어 더이상 찾지 않을거 같아서 슬프시군요.
내가 방문 건강관리 서비스 대상이 아니라네. 이 몸으로 병원을 갈 수도 없는 노릇인데 큰일이야.	혼자 병원에 갈 여건이 되지 않아 걱정이시군요.
지금 하고 있는 사업이 곧 있으면 잘 될 것 같아. 흥분돼.	흥분되는 감정을 느끼고 계시는군요.
왜 난 건강하지 않을까?	왜 그러세요?
돈을 꽤 모아놨다고 생각했는데 통장정리해보니 잔고가 없어.	잔고가 어디로 갔는지 알아내셨나요?
재정문제로 당혹스러워.	무슨 일인가요?
아내가 잔병치레는 많지만 큰 병에 걸리지는 않을 것 같아 다행이야.	좀 더 자세히 이야기 해주세요.
괜찮다고 갑자기 가슴통증이 심하고 압박감이 있는 거 보니 곧 심근경색이 올 것 같아.	가슴통증도 심하고 압박감이 있는 거 보니 심근경색이 올 것 같아 걱정이 되시는군요.
간암에 걸리니 세상에 혼자 남겨진 기분이야.	간암에 걸리다니 슬프시겠어요.
약을 꾸준히 먹는데도 몸이 전혀 좋아지질 않네. 병원 처방이 제대로 된건지 화가 나.	약을 꾸준히 복용해도 효과가 없어서 화가 나시는군요.
큰돈을 주고 건강기능식품을 샀는데 사기였어.	건강을 위해 큰 지출을 하셨는데 모두 거짓말이었다는 사실에 화가 나시겠어요.
전화를 하지 않으면 모임 회비를 주지 않는 친구가 있어서 성가셔.	회비 내기를 미루는 친구 때문에 성가시겠어요.
고속도로를 운전 할 때마다 사고가 날까 봐 조마조마 해서 너무 불안해.	고속도로에서 불안함을 많이 느끼시는군요. 불안할 때마다 무엇을 하나요?
돈이 너무 없어서 우울해.	돈을 보통 어디에 쓰시나요?
이번에 먹는 새로운 약이 잘 맞는 것 같아.	정말 좋은 소식이네요. 병이 호전되고 있으신가 봐요.
보험들어 놓은것도 없는데 어떡하지?	무슨일있으세요? 조금 더 자세히 말씀해 주세요.
나의 약점을 잡고 공격하는 친구들이 있어.	친구들과의 관계에 문제가 있으시군요.
어쩌면 좋지?	무슨 고민 있으세요?
은퇴하고 만성질환으로 몸이 아파.	많이 안 좋으신가요.
친구들이 성가시게 계속 술 먹자고하네. 바빠죽겠는데.	바쁘신데 신경이 많이 쓰이시겠어요.
항암치료를 받고 있는데 재정적으로 부담이 커서 그만둬야 하는 상황까지 왔어.	재정적 문제로 항암치료를 그만두게 되었군요.
항암치료때문에 너무 스트레스야.	항암치료 많이 힘든가요?
대인관계가 마비됐어.	대인관계가 왜 마비됐다고 생각하시나요.
남편이 초기 암 진단을 받은 후 내 이름으로 생명보험을 가입했어.	남편이 암 진단을 받고 당신의 이름으로 생명보험을 가입했군요.
매달 큰 병원비가 나와서 자녀들에게 말해야 되는데 이런 내가 부끄럽고 싫어.	병원비 때문에 힘드시겠어요.
나는 우리 동네 명순할머니랑 오랜 친구야. 옆집에 살고 있기도 하지.	명순할머니랑 친구이시구나! 얼마나 오래된 친구세요?
사돈댁과 결혼 이야기를 하면 할수록 하나부터 열까지 무엇 하나 맞는 게 없어.	사돈댁과 결혼 이야기를 나누게 되었군요. 무슨 일이었나요?
지금도 병원치료를 계속 받는 중인데 사실 모르겠어. 내 상태가 호전될지.	상태가 언제 호전될지 모르기 때문에 정말 괴로우시겠어요.
사돈댁은 죽은 뒤 장례식까지 생각을 해놨어. 나도 빨리 준비해야 하는데 초조해.	사용자님보다 앞서간 사돈댁 생각에 초조해지셨군요.
친구랑 싸워서 비통한 감정이 들어.	힘들고 마음이 아프시겠어요.
부모님이 나에게 땅과 재산을 나에게 줬어.	그러셨군요. 부모님이 재산을 줬군요.
친구의 장례식에 갔다 왔거든. 갑자기 불안하고 걱정스러운 기분이 되었어.	가까운 친구의 장례식을 갔다 오셨다니 마음이 무거우셨겠어요.
스스로 생활을 해결해야 하는데 국민연금이 얼마 되지 않으니 생활비 마련 때문에 걱정이 되지.	국민연금으로만 생활하셔야 하나요?
나이가 먹고 나에게 냄새가 나. 지하철을 탔는데 사람들이 수군거리면서 날 피해서 슬퍼.	나이가 먹으면서 몸에 생기는 증세로 마음이 안 좋으시군요?
혈압이 정상으로 돌아왔대!	무슨 일이 있으셨어요? 좀 더 자세히 말씀해주실 수 있을까요?
자식들은 다 결혼해서 분가 했는데 내가 아프면 어쩌나.	앞으로의 일이 많이 걱정되시는군요.
이 나이 먹고 아무것도 안하고 있으니 부끄러워.	직장은 안 다니세요?
나와 같은 병실을 쓰던 사람이 갑자기 의식을 잃은 뒤 사망하니 나도 걱정도 우울감에 빠졌어.	같은 병실 사람이 갑자기 사망해 마음이 불안하군요.
내 친구는 데릴러 오는 사람들이 있던데.	그렇군요. 목적지까지 직접가셨나요?
친구하고 오해가 좀 있었는데 그냥 편하게 생각하기로 했어.	친구하고 오해가 있으셨군요? 그런데 어떻게 마음이 편안해지셨어요?
자식들 온다고 명절에 음식 잔뜩 해놨는데 바빠서 못 온다네.	명절에 자식들이 못 온다고 했군요. 많이 서운하셨겠어요.
항암치료를 받아야 하는데 너무 괴로울 것 같아서 무서워.	힘들까봐 많이 무섭군요.
요즘에는 젊은 사람들 보면 다 부러워.	왜 젊은 사람들을 보면 부러우신지 얘기해 줄 수 있어요?
이럴 애가 아닌데 왜 안보냈을까.	무슨 일이 있으신가요?
옆 침대의 환자가 나보다 늦게 입원했는데도 퇴원은 나보다 빨리 해서 열등감이 들어.	다른 환자에 비해 오래 입원하시는 것 때문에 속상하신가 봐요.
중학교 동창이 안타깝게 죽어서 장례식장에 다녀오는 길이야.	어떤 사유로 사망하신 건가요?
나이를 먹었나. 그렇게 말이 잘 통하던 친구들하고도 이젠 말이 안 통하네.	말 잘 통하던 친구 분들과 그렇게 되어서 많이 속상하시겠어요.
어릴 적 부모님과 형제자매가 함께 지내던 시절이 그리워져서 슬퍼.	무엇이 슬픔을 느끼도록 만들었나요?
고혈압 때문에 걱정이 많단다.	많이 걱정 되시죠? 혈압관리하는 특별한 비법이 있으신가요?
친구가 아들에게 받은 좋은 약을 먹더니 엄청 건강해졌어.	그래서 마음이 어떠셨어요?
평생을 함께한 와이프가 요즘 많이 아파서 걱정이야.	이런 아내분이 편찮으시군요 병원은 가보셨나요?
사람이 그럴 수가 있어?	어떤 일이지 말씀해보세요.
김 씨가 당뇨로 입원했어. 있었을 땐 몰랐는데 없으니까 허전하네.	김 씨가 입원하셨다니. 정말 허전하시겠어요.
나는 내 재정이 안정적이라고 믿어.	재정 상태가 편안하신가봐요.
어제 병원에서 좋은 소식을 들었어.	어떤 소식을 들으셨어요?
친구가 나를 이용해 보장항목이 별로 없는 암보험 상품을 계약하게 했어	네? 친구가 그런 행동을 했다구요?
최근에 집에 전기가 끊겼다네. 전기세를 낼 돈이 부족하여 너무 슬프다네.	전기세를 내지 못해 정신적으로 너무 힘드시겠어요.
내가 집에서 경제력이 줄어들자 아내와 자식들이 내 말을 무시하기 시작했어.	정말 속상하셨겠어요.
그렇게 허무하게 가다니. 정말 남의 일이 아닌 것 같아.	안 좋은 일이 있으셨군요.
모임을 다 거절했더니 다들 나를 잊었나 봐. 아무도 나를 찾지 않아서 당황스러워.	모임에서 아무도 찾지 않아서 당황스러우시겠어요.
퇴직하고 이제야 원 없이 내 인생 살아야지 했는데 폐암이래.	폐암은 어느 정도인가요?
이웃집 사람들의 형편이 안 좋은가 봐.	왜 그렇게 생각하시나요?
죽는게 구역질이 나.	아픈 곳이 있나요?
돈 많이 벌게 해주겠다고 호언장담하던 박 사장이 결국 내 돈을 들고 날라버렸어.	돈을 많이 벌게 해주겠다던 박 사장님이 사용자님의 돈을 가지고 달아났군요.
재정이 많이 힘들었는데 그래도 이젠 괜찮아.	원래 많이 안 좋았나요?
아들은 나의 느린 행동을 못 마땅하게 여겨	아들이 나의 느린 행동을 못 마땅하게 여기는군요
오늘은 병원에 가야 하는 날인데 아들이 챙겨준 돈을 어디에 두었는지 기억이 안 나서 초조해.	병원 갈 때 필요한 돈을 찾지 못해서 초조하시군요.
전에 아는 사이였던 사람이 자꾸 내게 돈을 빌려달라해서 구역질 나.	계속 돈을 빌려달라하는 지인 분 때문에 구역질 나시는군요.
노년을 즐기려고 했지만 병에 걸려서 모아놓은 돈이 모두 병원비로 나가고 있어.	모아둔 돈이 모두 병원비로 나가고 있어서 힘드시겠어요.
돈이 없으면 정말 괴롭고 불편하다.	돈이 없어서 괴로우신 건가요?
손자가 글짓기 대상을 받고 입원중인 아내를 기쁘게 해주었어.	엄청 뿌듯하시겠어요.
나를 비롯한 주변인들과 끊임없이 비교하는 친구가 있는데 만날 때마다 기분 나빠.	타인과의 비교를 멈추지 않는 친구 때문에 화가 난 거로군요.
손주가 좋아하는 음식점에서 기계로 주문하는 법을 모르겠구나!	기계로주문하는 방법을 몰라서 당황하셨겠네요.
사람들과 만나서 어울릴 때마다 환갑이 넘으니깐 초조해서 질환이 생길거 같아.	어떻게 하면 좋을까요?
얼마 전에 박 할머니를 우리 집에 초대했는데 아무래도 실례를 저지른 것 같아.	무엇 때문에 그러시나요?
재정적으로 남이 신경쓰여.	왜 그러세요?
저금리 시대여도 은행 예금이 제일 믿을만한 것 같아. 	은행 예금에 신뢰가 있으시군요.
과연 내 나이에 새로운 일을 시작해서 돈을 벌 수 있을까?	새로운 일을 통해 수입을 창출할 수 있을지 회의적이시군요.
건강이 자꾸 나빠지니 죽음이 점점 다가오는 기분이야.	건강 때문에 걱정이 많으시군요.
요즘은 내 앞에서도 싸워.	재산때문에요?
이번 건강진단에서 나온 질환 때문에 큰 걱정이야.	건강진단에서 나온 질환 때문에 걱정이시군요.
건강하던 친구가 갑자기 세상을 떠나서 마음이 힘들어.	갑자기 슬픈소식에 많이 힘드시겠어요.
큰 돈이 있을 땐 주변에 사람이 많았는데 이젠 없어.	조건을 보는 사람들에게 희생된 감정을 느끼시는군요. 좋은 계획이 있나요?
몸이 안좋아서 그런지 모든게 조심스러워.	많이 아프신가봐요. 앞으로 어떻게 지내실거에요?
지금부터라도 열심히 운동하고 야식 안 먹고 노력할 거야.	왜 그런 결심을 하시게 되었나요?
퇴직 이후에 사람들에겐 사업 준비 중이라고 하지만 계속 집에서 놀고만 있어.	퇴직 이후에 집에서 놀고 있는데 사람들에겐 거짓말을 하셨군요.
남편이 뇌출혈로 쓰러져 중환자실에 여러 달 동안 누워있었어. 이제 돈도 바닥났고 앞으로 살길이 막막해.	남편이 여러 달 동안 중환자실에 계시고 살길이 막막하군요. 앞으로 어떻게 할 건가요?
나이도 있고 노인성 질환도 생기니 이 병으로 죽음에 이르지 않을까 하는 생각에 모든 일에 소극적이고 조심성만 생겨. 아직 일도 해야 하는데.	노인성 질환으로 인해 조심스러운 부분이 많아지셨군요.
친구랑 싸웠는데 초조하고 슬퍼.	힘드시겠어요.
참 대인관계가 힘드네.	어떻게 힘드신데요?
대인관계에 죄책감이 들어.	왜 그러세요?
나이를 먹으니 딱히 대인관계에 연연할 필요는 없는 것 같아. 친한 사람들만 가끔 만나면 그만이지.	대인관계에 대해 느긋하고 여유로운 태도를 가지시는군요. 어떻게 그런 태도를 가질 수 있나요?
무슨 말을 해도 부정적으로 이야기하는 아내 때문에 말을 할 수 없어.	부정적으로 말하는 아내 때문에 속상하셨겠어요.
백내장이 악화되어 시력을 잃게 되자 가족의 잔소리가 점점 늘어가.	많이 슬프시겠어요.
노인이 되면서 젊은 사람들에게서 심한 열등감을 느껴.	어떤 점에서 열등감을 느끼시나요.
남편이 아프다는데 자식들은 모두 우리 재산 걱정만 해. 믿었던 자식들에게 배신감이 들어.	남편이 아프다는데 재산 걱정만 하는 자식들 때문에 배신감이 들고 속상하시겠어요.
수술비를 어떻게 마련해야될지 모르겠어.	마음이 안좋으시겠어요.
보호자의 방문이 없으니까 병실 사람들이 나를 무시해. 이 상황이 너무 슬퍼.	병실 사람들이 당신을 무시한다니. 너무 슬플 것 같아요.
연금만으로 이미 풍족하지만 또 다른 꿈을 도전하기 위해서 카페운영을 시작해서 좋아.	다른 꿈을 도전하기 위해 카페를 차리셨군요. 기쁘시겠어요.
내가 못나서 아내와 자식들에게 일찍부터 고생을 많이 시킨게 아직도 마음에 걸리네.	일찍부터 아내분과 자녀분들이 일을 해야 했던 것이 걸리시는군요. 마음에 상처가 크시겠어요.
은퇴하고 만성질환으로 병원에 입원해 있어.	병원에 입원에 계시는군요.
